ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,log_receita
2010,-0.4999999999999997,-0.8660254037844388,148,160000000.0,7.711403508771932,8.266666666666667,7.9,8.266666666666667,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.698514496257634
2023,1.2246467991473532e-16,-1.0,140,264940000.0,7.849722222222222,8.466666666666667,8.325,8.7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,19.087198708860605
2014,-0.5000000000000004,0.8660254037844384,169,165000000.0,7.7495192307692315,8.266666666666667,8.299999999999999,8.266666666666667,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.813294621198203
2023,-0.4999999999999997,-0.8660254037844388,180,100000000.0,7.85313725490196,8.266666666666667,7.9,8.266666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.264783562857993
2019,1.2246467991473532e-16,-1.0,132,11363000.0,8.336111111111112,7.633333333333333,8.5,7.633333333333333,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,19.2358583638126
2014,-0.8660254037844386,0.5000000000000001,106,3300000.0,7.935949074074074,7.725,8.5,7.725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.006012289477823
2012,0.49999999999999994,0.8660254037844387,165,100000000.0,7.787247150997151,8.15,8.5,8.15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.3310791579022
2011,0.49999999999999994,-0.8660254037844387,112,13000000.0,8.011904761904763,7.6,8.5,7.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.21900524370319
2019,-0.8660254037844386,0.5000000000000001,122,55000000.0,7.565895061728394,6.859999999999999,7.4,6.859999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20.659074935382154
2012,-0.4999999999999997,-0.8660254037844388,164,230000000.0,7.386313131313132,8.266666666666667,7.048484848484849,8.266666666666667,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20.208960969651788
2019,0.8660254037844387,-0.4999999999999998,181,400000000.0,7.370768552435219,7.583333333333333,7.472777777777778,7.583333333333333,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.61997370337498
2018,-2.4492935982947064e-16,1.0,117,90000000.0,7.843518518518518,8.0,8.4,8.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,19.5699244538166
2017,-2.4492935982947064e-16,1.0,105,175000000.0,7.949305555555556,8.350000000000001,8.4,8.350000000000001,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,20.29017916981899
2018,0.8660254037844387,-0.4999999999999998,149,300000000.0,7.451694478361144,7.583333333333333,7.527777777777778,7.583333333333333,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.266351882706438
2016,-0.5000000000000004,0.8660254037844384,106,2937023.8,8.269444444444446,7.62,8.4,7.62,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.425977543268232
2018,0.8660254037844386,0.5000000000000001,126,4000000.0,8.294444444444444,8.4,8.4,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81562032973071
2022,0.49999999999999994,-0.8660254037844387,130,170000000.0,7.576064814814815,7.040000000000001,8.3,7.040000000000001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.178108226266307
2012,0.8660254037844387,-0.4999999999999998,115,18200000.0,6.866011904761907,8.1,7.0875,8.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15.739959133793919
2012,0.49999999999999994,-0.8660254037844387,115,18200000.0,7.1903703703703705,8.1,7.4,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.739959133793919
2020,-0.4999999999999997,-0.8660254037844388,160,200000000.0,7.802777777777779,8.3,8.125,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20.514523175150046
2010,1.0,6.123233995736766e-17,131,6800000.0,8.300000000000002,7.890000000000001,8.3,7.890000000000001,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.881153392987152
2010,1.2246467991473532e-16,-1.0,103,200000000.0,7.927222222222223,8.3,8.3,8.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20.08184096799405
2016,-2.4492935982947064e-16,1.0,161,9500000.0,8.300000000000002,8.3,8.3,8.3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.26628511339574
2022,0.8660254037844387,-0.4999999999999998,168,13000000.0,8.25294117647059,8.25,8.25,8.25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.381749126879125
2017,1.2246467991473532e-16,-1.0,125,4172781.0,8.194444444444446,7.45,8.3,7.45,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,17.702950981415125
2013,0.49999999999999994,0.8660254037844387,180,100000000.0,7.6964368720947665,7.779999999999999,8.2,7.779999999999999,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,19.244692369253872
2021,-2.4492935982947064e-16,1.0,148,200000000.0,7.5142592592592585,7.1000000000000005,7.435714285714285,7.1000000000000005,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.370394337848246
2010,0.8660254037844386,0.5000000000000001,138,80000000.0,7.485231481481481,7.779999999999999,7.816666666666666,7.779999999999999,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18.809461568313726
2018,0.49999999999999994,0.8660254037844387,130,23000000.0,7.505092592592593,7.5,8.2,7.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.409862680888462
2019,0.49999999999999994,0.8660254037844387,119,100000000.0,7.616011904761905,7.35,8.2,7.35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.648422602298925
2020,0.8660254037844387,-0.4999999999999998,97,6000000.0,7.13531746031746,7.3,7.016666666666667,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324647374717454
2019,-0.5000000000000004,0.8660254037844384,96,40000000.0,7.896643518518516,8.2,8.2,8.2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,-inf
2018,-0.8660254037844386,0.5000000000000001,139,4500000.0,8.00648148148148,8.2,8.2,8.2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,17.33043670495477
2019,-0.8660254037844386,0.5000000000000001,132,961023.8,8.135185185185186,8.2,8.149999999999999,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.644020495062005
2019,0.49999999999999994,0.8660254037844387,132,473937.4,7.967037037037035,8.2,8.149999999999999,8.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.070251916510585
2018,-2.4492935982947064e-16,1.0,156,113600000.0,8.226470588235292,8.25,8.25,8.25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.099486955430887
2013,-0.8660254037844386,0.5000000000000001,153,46000000.0,7.487082732082732,7.890000000000001,7.675,7.890000000000001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18.00914944029501
2011,-0.4999999999999997,-0.8660254037844388,130,125000000.0,7.353248663101604,6.983333333333333,7.3225,6.983333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.364737404781756
2015,0.49999999999999994,-0.8660254037844387,120,150000000.0,7.398703703703703,7.4,8.1,7.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19.345950021573323
2014,-0.8660254037844386,0.5000000000000001,149,61000000.0,7.3809964726631385,7.659999999999999,7.8,7.659999999999999,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.245076226454565
2014,0.8660254037844387,-0.4999999999999998,99,31000000.0,7.382037037037037,7.4799999999999995,7.3475,7.4799999999999995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.436110861428993
2016,-0.8660254037844386,0.5000000000000001,139,40000000.0,7.385846560846561,8.1,8.1,8.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18.675523699618136
2017,0.49999999999999994,0.8660254037844387,115,12000000.0,7.3669949494949485,7.633333333333333,7.533333333333333,7.633333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.690883816783234
2019,-0.5000000000000004,0.8660254037844384,152,97600000.0,7.64096225412015,7.3,7.887499999999999,7.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.10283886182011
2016,1.2246467991473532e-16,-1.0,145,8575000.0,7.830092592592592,7.366666666666667,8.1,7.366666666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17.17692458068588
2011,-1.0,-1.8369701987210297e-16,146,25000000.0,7.404326923076923,6.2,7.8125,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.525040778045376
2015,1.2246467991473532e-16,-1.0,95,175000000.0,7.643055555555555,8.075,8.1,8.075,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,20.189849415028615
2017,1.0,6.123233995736766e-17,137,127000000.0,7.498855218855218,7.3,7.824999999999999,7.3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.028820765710144
2013,-0.8660254037844386,0.5000000000000001,123,38000000.0,7.642450142450141,6.971428571428571,8.1,6.971428571428571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.865607878610028
2015,0.49999999999999994,0.8660254037844387,129,20000000.0,7.425925925925926,6.833333333333333,8.1,6.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17.96467455937724
2013,0.49999999999999994,0.8660254037844387,134,20000000.0,7.460132275132275,7.366666666666667,7.8,7.366666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18.47621537005182
2015,0.49999999999999994,0.8660254037844387,118,13000000.0,7.609722222222222,8.1,7.949999999999999,8.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17.03622543556546
2010,1.0,6.123233995736766e-17,98,165000000.0,7.525771604938271,7.15,7.85,7.15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,19.311771871289174
2011,-0.5000000000000004,0.8660254037844384,140,25000000.0,7.520555555555556,0.0,7.875,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.350173546889394
2019,-2.4492935982947064e-16,1.0,122,5740000.0,7.824999999999999,8.1,8.1,8.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.9793503889569
2014,0.49999999999999994,-0.8660254037844387,122,4000000.0,7.980555555555554,7.35,8.1,7.35,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16.63537513660155
2016,0.8660254037844387,-0.4999999999999998,130,2937023.8,8.024999999999999,8.1,8.1,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16.951882682477965
2013,-0.8660254037844386,0.5000000000000001,127,961023.8,8.135185185185186,8.1,8.149999999999999,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.23855538695384
2013,0.49999999999999994,0.8660254037844387,127,473937.4,7.967037037037035,8.1,8.149999999999999,8.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.66478680840242
