,Movie Name,Year of Release,mes_sin,mes_cos,Run Time in minutes,budget_x,orig_lang,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,receita_corrigida,log_receita,lucro,categoria_lucro
5188,Clash of the Titans,2010,-0.8660254037844385,-0.5000000000000004,106,125000000.0, English,6.13307098765432,6.033333333333334,5.8,6.033333333333334,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,242962999.01477835,19.308419722282064,181386644.3349754,Lucro alto
5189,Clash of the Titans,2010,-0.8660254037844385,-0.5000000000000004,106,15000000.0, English,6.13307098765432,6.033333333333334,5.8,6.033333333333334,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,21871921.18226601,16.900714234348758,14482758.620689657,Lucro médio
5190,Clash of the Titans,2010,-0.8660254037844385,-0.5000000000000004,106,125000000.0, English,5.87,6.033333333333334,5.8,6.033333333333334,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,242962999.01477835,19.308419722282064,181386644.3349754,Lucro alto
5191,Clash of the Titans,2010,-0.8660254037844385,-0.5000000000000004,106,15000000.0, English,5.87,6.033333333333334,5.8,6.033333333333334,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,21871921.18226601,16.900714234348758,14482758.620689657,Lucro médio
5192,Crimes of the Future,2022,-0.8660254037844385,-0.5000000000000004,107,792225.8, English,5.9608333333333325,6.1,5.8,6.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4680851.063829787,15.358990502606577,3838057.6595744686,Lucro baixo
5193,Mulan,2020,-1.0,-1.8369701987210297e-16,115,200000000.0, English,5.874775132275132,6.04,5.8,6.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,64195908.25688073,17.97745003231257,-119290330.27522935,Prejuízo
5194,Mulan,2020,-1.0,-1.8369701987210297e-16,115,90000000.0, English,5.874775132275132,6.04,5.8,6.04,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,278440366.972477,19.444714472222774,195871559.6330275,Lucro alto
5195,Mulan,2020,-1.0,-1.8369701987210297e-16,115,200000000.0, English,6.09074074074074,6.04,5.8,6.04,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,64195908.25688073,17.97745003231257,-119290330.27522935,Prejuízo
5196,Mulan,2020,-1.0,-1.8369701987210297e-16,115,90000000.0, English,6.09074074074074,6.04,5.8,6.04,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,278440366.972477,19.444714472222774,195871559.6330275,Lucro alto
5199,Carrie,2013,-0.5000000000000004,0.8660254037844384,100,30000000.0, English,5.854497354497354,5.8,5.8,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,48192701.75438596,17.69071815167218,30648842.10526316,Lucro médio
5200,Carrie,2013,-0.5000000000000004,0.8660254037844384,100,1800000.0, English,5.854497354497354,5.8,5.8,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15138442.105263159,16.53274790142302,14085810.52631579,Lucro médio
5201,Carrie,2013,-0.5000000000000004,0.8660254037844384,100,30000000.0, English,6.014060846560847,5.8,5.8,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48192701.75438596,17.69071815167218,30648842.10526316,Lucro médio
5202,Carrie,2013,-0.5000000000000004,0.8660254037844384,100,1800000.0, English,6.014060846560847,5.8,5.8,5.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15138442.105263159,16.53274790142302,14085810.52631579,Lucro médio
5203,Carrie,2013,-0.8660254037844386,0.5000000000000001,100,30000000.0, English,5.877962962962962,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,48192701.75438596,17.69071815167218,30648842.10526316,Lucro médio
5204,Carrie,2013,-0.8660254037844386,0.5000000000000001,100,1800000.0, English,5.877962962962962,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,15138442.105263159,16.53274790142302,14085810.52631579,Lucro médio
5206,Army of the Dead,2021,0.49999999999999994,-0.8660254037844387,148,90000000.0, English,6.013809523809524,6.614285714285714,5.859999999999999,6.614285714285714,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,-inf,-90000000.0,Prejuízo
5208,Oldboy,2013,0.49999999999999994,-0.8660254037844387,104,3000000.0, Korean,5.96425925925926,6.366666666666667,5.8,6.366666666666667,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3637169.0058479533,15.106716191365704,1882783.0409356726,Lucro baixo
5209,Oldboy,2013,-0.5000000000000004,0.8660254037844384,104,3000000.0, English,6.074503968253968,6.366666666666667,5.8,6.366666666666667,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3637169.0058479533,15.106716191365704,1882783.0409356726,Lucro baixo
5211,Persuasion,2022,-0.4999999999999997,-0.8660254037844388,108,109600000.0, English,6.030833333333332,5.8,5.8,5.8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,553650874.6808511,20.13204485595154,437055130.0,Lucro alto
5212,Persuasion,2022,1.2246467991473532e-16,-1.0,108,145000000.0, English,5.95462962962963,5.8,5.8,5.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,700735601.4893618,20.36764120051211,546480282.3404255,Lucro alto
5213,The Mortal Instruments: City of Bones,2013,-0.8660254037844385,-0.5000000000000004,130,60000000.0, English,6.018765432098765,6.316666666666666,5.8,6.316666666666666,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44424308.187134504,17.609297359281246,9336588.88888889,Lucro médio
5215,Battleship,2012,0.8660254037844387,-0.4999999999999998,131,220000000.0, English,6.125044091710758,6.666666666666667,5.883333333333333,6.666666666666667,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,173192108.839779,18.969911992083425,51645147.513812155,Lucro médio
5220,The Babysitter: Killer Queen,2020,-1.0,-1.8369701987210297e-16,101,51400000.0, English,6.215287999038,6.016666666666667,6.081818181818182,6.016666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,580144957.6146789,20.17878855720007,532988994.31192654,Lucro alto
5221,Troll,2022,-2.4492935982947064e-16,1.0,101,121400000.0, Norwegian,5.968518518518518,6.22,5.8,6.22,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1040208141.9148936,20.762686666531692,911059205.7446809,Lucro alto
5222,Troll,2022,1.0,6.123233995736766e-17,101,1100000.0, English,5.816666666666666,6.22,5.8,6.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5798739.361702128,15.573151100461734,4628526.595744682,Lucro baixo
5227,The Contractor,2022,0.49999999999999994,-0.8660254037844387,103,43967862.6, English,6.006902356902357,5.8,5.8,5.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2257753.1914893617,14.629880713682796,-44516568.72340426,Prejuízo
5228,The Gunman,2015,0.8660254037844386,0.5000000000000001,115,40000000.0, English,5.979305555555555,6.233333333333333,5.8,6.233333333333333,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16881802.068965517,16.64174679907403,-10704404.827586208,Prejuízo
5229,The Addams Family,2019,-2.4492935982947064e-16,1.0,86,30000000.0, English,5.963849206349206,5.775,5.8,5.775,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,167984423.68421054,18.939381816903712,141668634.21052632,Lucro alto
5230,The Addams Family,2019,-2.4492935982947064e-16,1.0,86,24000000.0, English,5.963849206349206,5.775,5.8,5.775,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,175954864.9122807,18.985738070751623,154902233.33333334,Lucro alto
5231,The Addams Family,2019,-2.4492935982947064e-16,1.0,86,30000000.0, English,5.881944444444445,5.775,5.8,5.775,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,167984423.68421054,18.939381816903712,141668634.21052632,Lucro alto
5232,The Addams Family,2019,-2.4492935982947064e-16,1.0,86,24000000.0, English,5.881944444444445,5.775,5.8,5.775,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,175954864.9122807,18.985738070751623,154902233.33333334,Lucro alto
5235,Pitch Perfect 3,2017,0.49999999999999994,0.8660254037844387,93,45000000.0, English,6.031296296296295,5.85,5.8,5.85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,151005213.00813007,18.832824917415934,114419847.15447155,Lucro alto
5238,The Hangover Part III,2013,0.49999999999999994,-0.8660254037844387,100,103000000.0, English,6.132473544973545,6.859999999999999,6.15,6.859999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211695948.5380117,19.170661598170483,151462030.40935674,Lucro alto
5239,High Life,2018,1.2246467991473532e-16,-1.0,113,8933400.0, English,5.969444444444444,5.8,5.8,5.8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1792464.705882353,14.399102161377742,-5714594.117647059,Prejuízo
5240,V/H/S,2012,-0.8660254037844386,0.5000000000000001,116,9500000.0, English,6.010606060606061,6.064333333333332,5.8,6.025,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,55439.22651933702,10.92304268209505,-5193179.558011049,Prejuízo
5241,Noah,2014,1.0,6.123233995736766e-17,138,130000000.0, English,6.169475308641975,7.166666666666667,6.061111111111111,7.166666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,219149729.8136646,19.205265751945213,138404388.19875777,Lucro alto
5242,Something Borrowed,2011,0.49999999999999994,-0.8660254037844387,112,35000000.0, English,6.134259259259259,6.1,6.0166666666666675,6.1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,33897977.083333336,17.338865897512157,15668810.416666668,Lucro médio
5245,Eat Pray Love,2010,-0.8660254037844386,0.5000000000000001,133,60000000.0, English,6.0755291005291,5.8,5.833333333333334,5.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101772802.4630542,18.43825346001069,72216152.21674877,Lucro médio
5251,Extinction,2018,-0.4999999999999997,-0.8660254037844388,95,20000000.0, English,5.967094356261024,5.8,5.966666666666667,5.8,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1983193.2773109244,14.500218869878355,-14823529.411764707,Prejuízo
5252,Extinction,2018,-0.8660254037844385,-0.5000000000000004,95,20000000.0, English,5.967268518518519,5.8,5.8,5.8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1983193.2773109244,14.500218869878355,-14823529.411764707,Prejuízo
5254,Look Away,2018,-0.8660254037844386,0.5000000000000001,103,41721862.6, English,5.995833333333334,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,940787.3949579833,13.754472457820313,-34119601.34453782,Prejuízo
5256,Pride and Prejudice and Zombies,2016,0.8660254037844386,0.5000000000000001,108,28000000.0, English,6.012918871252205,6.1,5.8,6.1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,12700992.366412213,16.357190687463696,-8673053.435114503,Prejuízo
5257,Footloose,2011,0.8660254037844387,-0.4999999999999998,113,24000000.0, English,5.85324074074074,5.7,5.8,5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32807205.208333336,17.306158720216008,20307205.208333336,Lucro médio
5258,Footloose,2011,0.8660254037844387,-0.4999999999999998,113,8200000.0, English,5.85324074074074,5.7,5.8,5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41671324.47916667,17.54532378785071,37400491.145833336,Lucro médio
5259,Footloose,2011,-0.8660254037844386,0.5000000000000001,113,24000000.0, English,6.033487654320987,5.7,5.8,5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,32807205.208333336,17.306158720216008,20307205.208333336,Lucro médio
5260,Footloose,2011,-0.8660254037844386,0.5000000000000001,113,8200000.0, English,6.033487654320987,5.7,5.8,5.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,41671324.47916667,17.54532378785071,37400491.145833336,Lucro médio
5261,Straw Dogs,2011,0.49999999999999994,0.8660254037844387,110,25000000.0, English,5.911481481481481,6.3,5.8,6.3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5861365.104166667,15.58389308735334,-7159468.229166667,Prejuízo
5262,Skyscraper,2018,-0.4999999999999997,-0.8660254037844388,102,125000000.0, English,6.135273600668337,6.35,5.8,6.35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,256183294.9579832,19.36140374217066,151141278.15126052,Lucro alto
5264,Last Looks,2021,0.8660254037844386,0.5000000000000001,110,108000000.0, English,5.990978835978836,5.8,5.8,5.8,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,433688790.0,19.88783776111162,325688790.0,Lucro alto
5267,The Host,2013,1.0,6.123233995736766e-17,125,50000000.0, English,5.938531746031746,6.1,5.8,6.1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,37705877.777777776,17.445326549490535,8466111.695906432,Lucro médio
5268,The Host,2013,-0.8660254037844385,-0.5000000000000004,125,50000000.0, Korean,6.196666666666666,6.1,5.8,6.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37705877.777777776,17.445326549490535,8466111.695906432,Lucro médio
5269,The Man from Toronto,2022,1.2246467991473532e-16,-1.0,110,75000000.0, English,5.982222222222223,6.225,5.8,6.225,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,442717270.4255319,19.90844190851933,362930036.38297874,Lucro alto
5271,The Little Hours,2017,1.2246467991473532e-16,-1.0,90,72440000.0, English,5.999305555555555,5.699999999999999,5.8,5.699999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179005605.20325205,19.002927677299404,120111296.2601626,Lucro alto
5272,Eli,2019,-0.8660254037844386,0.5000000000000001,98,11000000.0, English,6.043148148148148,5.55,5.95,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,-inf,-9649122.807017544,Prejuízo
5273,Monte Carlo,2011,-1.0,-1.8369701987210297e-16,109,20000000.0, English,6.135760582010582,6.25,5.9375,6.25,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,20670192.1875,16.844203229510228,10253525.520833334,Lucro médio
5276,The Wolfman,2010,0.8660254037844386,0.5000000000000001,103,150000000.0, English,6.123611111111111,6.35,5.8,6.35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,70263230.54187194,18.067759183560913,-3628395.0738916257,Prejuízo
5278,Masterminds,2016,-0.5000000000000004,0.8660254037844384,95,25000000.0, English,6.096064814814814,5.8,5.816666666666666,5.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23550126.71755725,16.974641759200217,4466157.251908396,Lucro baixo
5283,The To Do List,2013,-0.4999999999999997,-0.8660254037844388,104,1500000.0, English,6.102808641975309,5.8,5.8,5.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2414519.298245614,14.697010776910558,1537326.3157894737,Lucro baixo
5284,Home Again,2017,0.49999999999999994,0.8660254037844387,97,15000000.0, English,5.918504273504273,5.8,5.8,5.8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,30355182.113821138,17.228477805995688,18160060.162601627,Lucro médio
5287,Haywire,2011,1.0,6.123233995736766e-17,93,23000000.0, English,6.1211552028218685,6.228571428571429,6.069444444444445,6.228571428571429,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18945156.25,16.75705884995955,6965989.583333334,Lucro médio
5291,Last Shift,2014,-0.8660254037844386,0.5000000000000001,88,134000000.0, English,5.79074074074074,5.8,5.8,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,305771945.4658385,19.538350105804813,222542131.8012422,Lucro alto
5292,The People We Hate at the Wedding,2022,-0.5000000000000004,0.8660254037844384,99,110000000.0, English,6.21462962962963,6.15,6.1899999999999995,6.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,289009622.97872347,19.48197054302659,171988346.38297877,Lucro alto
5293,Morgan,2016,-0.5000000000000004,0.8660254037844384,92,8000000.0, English,6.081127946127945,5.8,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5571592.366412213,15.53319145370609,-535277.8625954199,Prejuízo
5296,Dual,2022,0.8660254037844387,-0.4999999999999998,94,4500000.0, English,5.982407407407407,5.8,5.8,5.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,87529949.36170214,18.287491571183402,82742715.31914894,Lucro médio
5300,The Green Hornet,2011,0.49999999999999994,0.8660254037844387,119,110000000.0, English,5.972293447293448,5.8,5.8,5.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,119351824.47916667,18.597586197428807,62060157.8125,Lucro médio
5302,The Cobbler,2014,-1.0,-1.8369701987210297e-16,99,176800000.0, English,6.108179012345679,6.833333333333333,5.916666666666667,6.833333333333333,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,462408626.7080745,19.951959531524007,352594962.1118012,Lucro alto
5303,Miss Bala,2019,0.8660254037844386,0.5000000000000001,104,15000000.0, English,5.933703703703703,5.6,5.895,5.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13477747.368421054,16.416550540316564,319852.6315789474,Lucro baixo
5305,Nightbooks,2021,-1.0,-1.8369701987210297e-16,103,119600000.0, English,6.078505291005291,5.949999999999999,5.925,5.949999999999999,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,400881081.0,19.80917538517966,281281081.0,Lucro alto
5307,Romeo & Juliet,2013,-0.8660254037844386,0.5000000000000001,118,52260004.0, English,6.089814814814814,5.8,5.8,5.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,679903.5087719299,13.429706168218884,-29881502.339181285,Prejuízo
5308,Into the Storm,2014,-1.0,-1.8369701987210297e-16,89,50000000.0, English,5.864029180695847,5.85,5.8,5.85,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,93434391.92546584,18.352770057322086,62378491.30434782,Lucro médio
