ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,categoria_lucro
2020,0.8660254037844387,-0.4999999999999998,97,6000000.0,7.13531746031746,7.3,7.016666666666667,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2019,-0.5000000000000004,0.8660254037844384,96,40000000.0,7.896643518518516,8.2,8.2,8.2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Prejuízo
2018,-0.8660254037844386,0.5000000000000001,139,4500000.0,8.00648148148148,8.2,8.2,8.2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Lucro médio
2019,-0.8660254037844386,0.5000000000000001,132,961023.8,8.135185185185186,8.2,8.149999999999999,8.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2019,0.49999999999999994,0.8660254037844387,132,473937.4,7.967037037037035,8.2,8.149999999999999,8.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2018,-2.4492935982947064e-16,1.0,156,113600000.0,8.226470588235292,8.25,8.25,8.25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2013,-0.8660254037844386,0.5000000000000001,153,46000000.0,7.487082732082732,7.890000000000001,7.675,7.890000000000001,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro médio
2011,-0.4999999999999997,-0.8660254037844388,130,125000000.0,7.353248663101604,6.983333333333333,7.3225,6.983333333333333,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Lucro alto
2015,0.49999999999999994,-0.8660254037844387,120,150000000.0,7.398703703703703,7.4,8.1,7.4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2014,-0.8660254037844386,0.5000000000000001,149,61000000.0,7.3809964726631385,7.659999999999999,7.8,7.659999999999999,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro alto
2014,0.8660254037844387,-0.4999999999999998,99,31000000.0,7.382037037037037,7.4799999999999995,7.3475,7.4799999999999995,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2016,-0.8660254037844386,0.5000000000000001,139,40000000.0,7.385846560846561,8.1,8.1,8.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
2017,0.49999999999999994,0.8660254037844387,115,12000000.0,7.3669949494949485,7.633333333333333,7.533333333333333,7.633333333333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2019,-0.5000000000000004,0.8660254037844384,152,97600000.0,7.64096225412015,7.3,7.887499999999999,7.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
2016,1.2246467991473532e-16,-1.0,145,8575000.0,7.830092592592592,7.366666666666667,8.1,7.366666666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Lucro médio
2011,-1.0,-1.8369701987210297e-16,146,25000000.0,7.404326923076923,6.2,7.8125,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2015,1.2246467991473532e-16,-1.0,95,175000000.0,7.643055555555555,8.075,8.1,8.075,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Lucro alto
2017,1.0,6.123233995736766e-17,137,127000000.0,7.498855218855218,7.3,7.824999999999999,7.3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lucro alto
2013,-0.8660254037844386,0.5000000000000001,123,38000000.0,7.642450142450141,6.971428571428571,8.1,6.971428571428571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2015,0.49999999999999994,0.8660254037844387,129,20000000.0,7.425925925925926,6.833333333333333,8.1,6.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro médio
2013,0.49999999999999994,0.8660254037844387,134,20000000.0,7.460132275132275,7.366666666666667,7.8,7.366666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
2015,0.49999999999999994,0.8660254037844387,118,13000000.0,7.609722222222222,8.1,7.949999999999999,8.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro médio
2010,1.0,6.123233995736766e-17,98,165000000.0,7.525771604938271,7.15,7.85,7.15,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Lucro alto
2011,-0.5000000000000004,0.8660254037844384,140,25000000.0,7.520555555555556,0.0,7.875,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prejuízo
2019,-2.4492935982947064e-16,1.0,122,5740000.0,7.824999999999999,8.1,8.1,8.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucro baixo
2014,0.49999999999999994,-0.8660254037844387,122,4000000.0,7.980555555555554,7.35,8.1,7.35,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Lucro médio
2016,0.8660254037844387,-0.4999999999999998,130,2937023.8,8.024999999999999,8.1,8.1,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Lucro médio
2013,-0.8660254037844386,0.5000000000000001,127,961023.8,8.135185185185186,8.1,8.149999999999999,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2013,0.49999999999999994,0.8660254037844387,127,473937.4,7.967037037037035,8.1,8.149999999999999,8.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2012,-0.8660254037844384,-0.5000000000000004,117,7911023.8,8.041666666666664,7.449999999999999,8.1,7.449999999999999,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Lucro médio
2021,-2.4492935982947064e-16,1.0,155,165000000.0,7.491331569664903,7.890000000000001,7.800000000000001,7.890000000000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2021,-2.4492935982947064e-16,1.0,155,45000000.0,7.491331569664903,7.890000000000001,7.800000000000001,7.890000000000001,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Prejuízo
2021,-2.4492935982947064e-16,1.0,155,165000000.0,7.813271604938271,7.890000000000001,8.0,7.890000000000001,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2021,-2.4492935982947064e-16,1.0,155,45000000.0,7.813271604938271,7.890000000000001,8.0,7.890000000000001,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Prejuízo
2017,-0.8660254037844386,0.5000000000000001,164,185000000.0,7.3000653594771245,7.890000000000001,8.0,7.890000000000001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lucro médio
2010,0.49999999999999994,0.8660254037844387,108,13000000.0,7.551111111111112,7.166666666666667,8.0,7.166666666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Lucro alto
2016,-0.5000000000000004,0.8660254037844384,128,20000000.0,7.528940696649029,7.725,8.0,7.725,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Lucro alto
2014,-0.8660254037844384,-0.5000000000000004,121,170000000.0,7.049215167548501,7.6000000000000005,7.026666666666666,7.6000000000000005,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2015,0.49999999999999994,0.8660254037844387,156,135000000.0,7.638624338624339,7.85,8.0,7.85,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Lucro alto
2013,0.49999999999999994,0.8660254037844387,126,23000000.0,7.036474358974359,8.0,6.840769230769231,8.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Lucro médio
2021,-0.8660254037844384,-0.5000000000000004,111,10000000.0,7.5435185185185185,8.0,8.0,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Prejuízo
2015,-1.0,-1.8369701987210297e-16,144,108000000.0,7.212268518518518,6.753846153846154,6.9875,6.753846153846154,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2016,0.8660254037844386,0.5000000000000001,108,58000000.0,7.25809422059422,7.1,7.425,7.1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Lucro alto
2014,-2.4492935982947064e-16,1.0,114,15000000.0,7.573054954304954,7.333333333333333,8.0,7.333333333333333,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Lucro alto
2012,0.8660254037844387,-0.4999999999999998,143,225000000.0,7.312349240265907,7.716666666666666,7.470000000000001,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2012,0.8660254037844387,-0.4999999999999998,143,60000000.0,7.312349240265907,7.716666666666666,7.470000000000001,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Prejuízo
2012,-0.5000000000000004,0.8660254037844384,143,225000000.0,7.371388888888889,7.716666666666666,7.383333333333333,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Lucro alto
2012,-0.5000000000000004,0.8660254037844384,143,60000000.0,7.371388888888889,7.716666666666666,7.383333333333333,7.716666666666666,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Prejuízo
2010,-2.4492935982947064e-16,1.0,118,15000000.0,7.40640522875817,7.525,7.325,7.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
